#l1 l2 l3 l4 mom1 mom2 mom3 mom4 f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
5.4472172893975851e-02 2.5699977039889056e-02 -1.1489281606762740e-02 -3.1735828421593773e-03 4.2002349719832839e-17 9.9999999999999967e-01 -3.5603184869493854e-01 3.2801270571385750e+00 2.6004810871920646e-17 2.3611524037076738e-16 9.9579066363726716e-15 1.3524352093491841e-12 3.6470448619369061e-10 1.1222931545467173e-07 2.2347161216392156e-05 1.7346708070694245e-03 3.8120000745970641e-02 2.5997179582066027e-01 3.4031745467021679e-01 1.8686520403181681e-02 1.3264528036203486e-04 3.3369152977280200e-07 3.3106606069361716e-10 2.5640940512094145e-13 3.0434686707002542e-16 9.6717542080598579e-19 1.2986024695388160e-20 1.0454778101282530e-21
1.3525383241651912e-02 5.1769050783565411e-02 -2.9840609465607484e-03 -3.5823078710391556e-03 9.3425276417952613e-17 9.9999999999999989e-01 -1.3282750097624321e-01 3.3845463694310634e+00 1.2659027363195389e-16 9.9056306747775600e-16 3.2585701882564972e-14 3.2219883166336080e-12 6.1472778837696502e-10 1.3618590279319054e-07 2.0852649994425416e-05 1.4112127444061737e-03 3.3019522321768704e-02 2.8259795513458513e-01 3.0270457233654829e-01 2.8371491040467368e-02 4.5449210403589250e-04 1.7135213327166374e-06 3.5544396549119923e-09 7.3201617552562675e-12 2.1501705776087154e-14 1.3987387864144908e-16 3.1184759035116075e-18 3.3473383451126599e-19
2.3800240043623085e-02 -9.9591992352231318e-02 -2.0411356949990083e-03 7.1090085936721132e-03 -3.7951281854038347e-17 9.9999999999999978e-01 4.3147424271219065e-02 2.9244489456039431e+00 9.5985593498792224e-18 7.8440178268842442e-17 2.8009324183571079e-15 3.1441037221449088e-13 7.1817395677211171e-11 2.0337049248132473e-08 4.3740837434756795e-06 4.7810486449423989e-04 2.2597362629455914e-02 3.2344933014646537e-01 3.2891373323445822e-01 2.5160441184244563e-02 8.0927988833373620e-04 9.9264097802592563e-06 5.8144101046307281e-08 2.4767506249446657e-10 1.2656830167813958e-12 1.2731531529787973e-14 3.8852514757128873e-16 4.9900611054521120e-17
-1.0105905410070684e-01 -1.6263740290331605e-02 2.3739885512873878e-02 -1.7573979411297130e-03 -7.0631865794801297e-17 1.0000000000000000e+00 4.5880837533354962e-01 3.2098250014958798e+00 1.0499524534966227e-22 1.5947042313810744e-21 1.6856440885024913e-19 8.3695533616332462e-17 1.1236049763828800e-13 2.0842361901013042e-10 2.6093686734289553e-07 1.1255311379184790e-04 1.2477966465199639e-02 3.8212474080214942e-01 2.5394281955541920e-01 4.0205502918971993e-02 1.7763860555877890e-03 2.0473477816557759e-05 8.7083607335822588e-08 2.3282798787590240e-10 7.0725554889081382e-13 4.3496802171976940e-15 8.9706030727193350e-17 9.0923611582238794e-18
-9.8061260903918229e-02 8.6554936162518706e-02 3.8607985137181981e-03 -2.8240151835459250e-03 -1.2429041029271275e-16 1.0000000000000004e+00 5.6614056791345113e-01 4.5062172204335775e+00 7.3793795775002726e-14 3.3980170052146785e-13 4.5877246291079635e-12 1.4379195622811009e-10 7.6811250246218759e-09 4.9019970838138705e-07 2.6024152578738462e-05 8.8416218733973007e-04 1.8999180379608883e-02 3.4592265370415581e-01 2.2895989138875289e-01 3.8120438109257151e-02 4.6654481376720014e-03 2.8401491679143999e-04 9.6965935047057815e-06 2.5501734207243806e-07 7.3789606937833929e-09 3.3180558966655260e-10 3.1330086107946574e-11 7.8015710106698112e-12
-5.6602048160307337e-03 5.2522082834556894e-02 1.7658843633896462e-03 -3.6728765123897156e-03 -3.7196236982900898e-16 1.0000000000000007e+00 4.0959746127009304e-02 3.3449670308271147e+00 3.2646173017093310e-19 3.2377332702279914e-18 1.6391178271097820e-16 3.0551946423047439e-14 1.3475779643095632e-11 8.1590467510849678e-09 3.6718182265047787e-06 6.7262125413860251e-04 3.0377937249782359e-02 2.9497342652016917e-01 2.9014047076506588e-01 3.1470455083197485e-02 1.0195421868001643e-03 1.1164073916432374e-05 5.5711308885683710e-08 1.9576210732509717e-10 8.1747880575355510e-13 6.8304863714509418e-15 1.8022452388436872e-16 2.1215059130065045e-17
1.0249284118572438e-01 1.2676635103208853e-01 -4.7037047831801635e-03 -3.8102878867938466e-03 -1.9406448936463116e-16 1.0000000000000002e+00 -5.7948503378184246e-01 4.2273536124892503e+00 1.6419189304856204e-13 8.6403574929915557e-13 1.4443634895461848e-11 5.8195938456982625e-10 3.9250960765345387e-08 2.9174460276628901e-06 1.5533914387202188e-04 4.0293875956942844e-03 4.1886377987824866e-02 1.9800238723246855e-01 3.0065493161038648e-01 2.2191439240569270e-02 3.2803695086247792e-04 2.9617959804225225e-06 1.9327575745652913e-08 1.0796229443756439e-10 7.6850598500533629e-13 1.0703273813607990e-14 4.2544306272272532e-16 6.4211869432629490e-17
7.0582063487166268e-03 4.9232331776991746e-02 -1.0959167740504281e-03 -3.2439330938340855e-03 4.6725814080723334e-16 9.9999999999999956e-01 -5.3672783294495603e-02 3.3810875069988424e+00 2.9949819003304816e-16 2.1028656566268321e-15 5.7788437163934936e-14 4.5533063563187039e-12 6.8187976531771606e-10 1.2133304374530971e-07 1.6074478734360042e-05 1.1104749296002481e-03 3.1639016251215422e-02 2.8801756743011603e-01 2.9801880706931949e-01 2.9565744231463305e-02 7.5502109192215503e-04 7.1944178666260636e-06 3.9912800128756556e-08 1.8041788254517175e-10 1.0166315453948474e-12 1.1313326151116415e-14 3.7525112619587771e-16 5.0728153507796486e-17
1.7801682961724922e-04 3.7003330917880009e-02 -3.1775021084884625e-04 -3.9702007282418099e-03 -2.1758663851529166e-15 9.9999999999999922e-01 5.2760077024363592e-03 3.0854150474352582e+00 2.8538546741248899e-20 3.5689040494454740e-19 2.6134359657196453e-17 7.4772939422734590e-15 4.9098508247746678e-12 4.0466017003452182e-09 2.2756867276797959e-06 5.0591376284028810e-04 2.9605167261471260e-02 2.9813370336705725e-01 2.9620729889764236e-01 3.0114995825302113e-02 4.9795998340315456e-04 1.8739289007912005e-06 2.5257913363413462e-09 2.2277168409841420e-12 2.4756341760758173e-15 6.5653870340013648e-18 7.2699645784844486e-20 5.1389266489504420e-21
-6.1404517039254342e-02 4.2657952876971925e-02 8.1982306700325858e-03 -2.8700583671727835e-03 -3.6419339118477995e-19 1.0000000000000004e+00 1.5235814859803032e-01 3.2615035370613485e+00 2.7472317963646640e-18 2.5553697384316313e-17 1.1325928292724446e-15 1.6750235186659718e-13 5.1644654527581870e-11 1.9416608364214223e-08 5.2020146864198298e-06 6.3034270805481843e-04 2.5157850293446676e-02 3.2532107856089504e-01 2.6552244072264763e-01 3.6123996474112068e-02 8.1846724944653550e-04 4.0277233516635284e-06 7.9136130593180875e-09 1.2469774522283088e-11 2.8694176560887425e-14 1.5649473583706256e-16 3.0901574828998020e-18 3.0948792917154705e-19
2.5887985424973758e-03 5.6253335036840477e-02 -3.0638617721992596e-03 -3.6386483613336709e-03 2.3932736905449823e-17 9.9999999999999989e-01 -2.1882157771371571e-01 3.4456698367327543e+00 2.3066316602269294e-16 1.7899070755969276e-15 5.7923875704969332e-14 5.5772045524781236e-12 1.0228854605279381e-09 2.1434925541029962e-07 3.0393004194447038e-05 1.8344816109093773e-03 3.4946593646357334e-02 2.7802270921429773e-01 3.0001714247763800e-01 2.6853976013274182e-02 2.3865726617477439e-04 7.3336662053786611e-07 1.4785225625121279e-09 2.6754925277480565e-12 6.7830934491322156e-15 3.9015792759851210e-17 7.9560537873989990e-19 8.1149834019209154e-20
-7.4164690645140887e-03 2.1979717772759463e-02 1.4277518110827562e-03 -3.1914881840291176e-03 -2.3658144466254555e-16 1.0000000000000002e+00 2.3977373939859437e-02 3.0040151940227804e+00 7.5547601667630115e-19 7.3416635581781930e-18 3.5141505109170924e-16 5.7850842241157443e-14 2.0398495263863603e-11 9.0014501269989124e-09 2.9163159419266164e-06 4.4882650613269954e-04 2.7858761798762555e-02 3.0389640810068863e-01 2.9550368599395566e-01 2.9802129203086763e-02 4.7112856871583329e-04 2.9466272970857033e-06 9.0981926850288234e-09 2.0658987819996898e-11 5.8684635605392370e-14 3.5692825780652969e-16 7.4634486940424787e-18 7.6839080120409631e-19
-9.5176653773164747e-03 2.9768929295715674e-02 1.3469311340866951e-03 -2.7631199254242074e-03 3.3452551325430229e-17 1.0000000000000011e+00 4.5369192814632087e-02 3.2545098076043240e+00 3.2193248859664138e-16 2.1770994169989703e-15 5.6265341116304397e-14 4.1112074705494120e-12 5.7018290776793080e-10 9.5070122115177789e-08 1.2012994674272800e-05 7.9878800927331382e-04 2.7294853824399373e-02 3.0510434790721180e-01 2.9217773363202670e-01 3.0084343974764390e-02 9.5733910239703440e-04 1.5575016485463072e-05 1.3195577518294382e-07 8.3812891891073075e-10 6.3399321455214669e-12 9.0105154560536017e-14 3.5808480028340453e-15 5.3753771454191712e-16
8.5651952293105821e-02 3.4635165391073280e-02 -8.6183544852448529e-03 -2.4648962856488243e-03 -8.2479004606644104e-17 1.0000000000000000e+00 9.7740163662868404e-02 3.2255610880693779e+00 1.3005988848847028e-20 1.4327816911888896e-19 8.5776349026132596e-18 1.9497755372916393e-15 1.0612332833745758e-12 8.3457391189399254e-10 5.5568607550557176e-07 1.9030419615365080e-04 2.8182908094322508e-02 2.7963684448803539e-01 3.1504880013710862e-01 3.1637410492137259e-02 1.3304024675953737e-03 1.6237149263649462e-05 8.1401797078669966e-08 2.7296000174692104e-10 1.0630555904189984e-12 8.2531410926140015e-15 2.0472656505099804e-16 2.3193116273763221e-17
2.2197525711857213e-01 3.8746576662263874e-02 -2.3533853130491177e-02 -1.2141232306247833e-03 2.5118471679581889e-16 1.0000000000000000e+00 -3.7788560587278902e-01 3.4310129493562447e+00 1.2254207471349835e-16 8.9780059834061650e-16 2.6548048513304268e-14 2.3101396940621473e-12 3.9106389663859482e-10 8.1658932395663034e-08 1.3935421384582284e-05 1.3361778585278938e-03 4.1731298749000868e-02 2.3902471957688370e-01 4.3051167909291049e-01 2.1973491566230071e-02 6.1252948694804710e-04 6.7546552628402681e-06 3.9139567503410212e-08 1.7211385410218661e-10 9.2538553579682422e-13 9.8333767625634211e-15 3.1441714312799083e-16 4.1577296684956212e-17
-4.7178991696765440e-02 4.3490238742331114e-02 2.8747653380584042e-03 -2.2621972763154211e-03 -1.4105532416790688e-16 9.9999999999999889e-01 -5.5774566038676386e-02 3.7407134836647362e+00 1.7134617161491699e-13 8.2625077650984290e-13 1.1984612850814273e-11 4.0659380727425894e-10 2.3136514581974138e-08 1.5073196488580087e-06 7.5891176408509934e-05 2.1113108422173383e-03 2.8741959107644131e-02 3.1053356522739778e-01 2.8381373939413840e-01 2.8601501205022684e-02 1.1964209635123544e-03 3.3128280617384708e-05 5.3468435445196983e-07 6.8557315702803857e-09 1.0357160340898253e-10 2.7098911973461224e-12 1.7171978348725938e-13 3.3958304559742677e-14
-5.4116290886355556e-02 5.1145670229291187e-02 3.1090588718770120e-03 -2.2797509606778781e-03 -6.8702974819885537e-18 9.9999999999999978e-01 1.3046975004186684e-01 3.9727150081584477e+00 3.8325735132797179e-13 1.7039286467589848e-12 2.1578896607335374e-11 6.1555524721413296e-10 2.8994928947454519e-08 1.5785858059818807e-06 6.8814674048257160e-05 1.7723110311437518e-03 2.5401192830695519e-02 3.2232404617578669e-01 2.7024223326991537e-01 3.1337699250222534e-02 2.2656569810367111e-03 9.7607866295852520e-05 2.4420441789481200e-06 4.8381386215264495e-08 1.0946303205659352e-09 4.0347234467234036e-11 3.3010358429132588e-12 7.5748852427401966e-13
3.6516200143683446e-03 5.0529035813703424e-02 2.7642282560509440e-04 -2.3978208686307573e-03 -4.3359335465397252e-16 1.0000000000000009e+00 9.6973367444910225e-02 3.9933884889164717e+00 3.2452553169266838e-13 1.4470741638146392e-12 1.8427251061812927e-11 5.3007573867924076e-10 2.5260893788003488e-08 1.3965133743371679e-06 6.2083924687806734e-05 1.6441340551523120e-03 2.6771608357832391e-02 2.9804325698488299e-01 2.9137968044189388e-01 2.9565558567189180e-02 2.4710603079437952e-03 1.1121972870499844e-04 2.8913197799569524e-06 5.9337107259573400e-08 1.3846005381762027e-09 5.2333739678286262e-11 4.3603583427591688e-12 1.0110420842237645e-12
5.7648163629467251e-02 6.1366319694136653e-02 -3.0543556497878138e-03 -2.4918439485455677e-03 1.3736005394580262e-16 1.0000000000000000e+00 -3.5025504073201996e-01 4.1958977814499665e+00 3.2828173167920677e-12 1.3550571054906709e-11 1.5065424190223955e-10 3.5872495791384453e-09 1.3512245437714310e-07 5.6865344489934088e-06 1.8675166290942671e-04 3.4936639014377935e-03 3.4288514698306065e-02 2.5628270617113846e-01 3.3172492021248812e-01 2.1937174200160808e-02 1.2178931324271923e-03 4.1342607000392907e-05 8.6573480299816042e-07 1.4840701607215326e-08 2.9938359663373133e-10 1.0126710468489216e-11 7.8152952867827390e-13 1.7368361966532467e-13
-1.1558231782092396e-01 2.0927961653856620e-02 1.6940960613609710e-02 -1.5398398049210466e-03 -1.4836950580389635e-15 9.9999999999999911e-01 1.8223863822575623e-01 3.1633851271767650e+00 1.5134884634948882e-17 1.2547783333015705e-16 4.5778563543531834e-15 5.2501586515568532e-13 1.2136409380405775e-10 3.4028590733980077e-08 6.9454295837271260e-06 6.7159477640463131e-04 2.2605715840633322e-02 3.5480354485484183e-01 2.6064821233996177e-01 3.6366161138449170e-02 6.5097707168984054e-04 4.1364987950650480e-06 1.6440818395024502e-08 5.1266068620181359e-11 1.9905228791605595e-13 1.5947508059189001e-15 4.1173008251749172e-17 4.8015819790489377e-18
-7.8290513018921148e-02 4.1301641588726595e-02 7.2295250893298444e-03 -2.0750442134252248e-03 1.4581646773226655e-16 1.0000000000000002e+00 1.8432698717082616e-01 3.6281540221151669e+00 1.8288886691708269e-14 9.6794009468510879e-14 1.6495230746623952e-12 6.9668980136402221e-11 5.1587582065061899e-09 4.4999954362552199e-07 3.0794114899419626e-05 1.1917917278922968e-03 2.3810255773228779e-02 3.3646801780381091e-01 2.6236310102763843e-01 3.4044818302734238e-02 1.7291554269686751e-03 5.1808899105566728e-05 8.6277577219508939e-07 1.1074588910505425e-08 1.6446497878192224e-10 4.1965975408504215e-12 2.5964957382587707e-13 5.0546159920927057e-14
-3.0364153883997418e-02 -1.0005364925220531e-01 -1.5493855742639789e-02 4.3238749342337695e-03 3.2698218027733241e-17 1.0000000000000000e+00 -2.8466258194409449e-01 2.9039495221477631e+00 1.3580221754787255e-20 2.0269931239124369e-19 1.9829328723309921e-17 8.0953434766736943e-15 7.6034267938683450e-12 8.3134552247285670e-09 5.2593302826439900e-06 1.0130383039952224e-03 3.6057421744482482e-02 2.9877809082817175e-01 3.3353626967450850e-01 1.1803978537272407e-02 9.6815345387992960e-05 2.1787825855076250e-07 1.6450117544569405e-10 8.0242123355752991e-14 5.1231171873199882e-17 8.4855105008022400e-20 6.6183152804106157e-22 3.8161020279853516e-23
1.1949846678164192e-01 -9.5192970294910917e-02 -2.8910133859193027e-02 1.0886539052666731e-02 -1.7198048428416884e-17 9.9999999999999978e-01 -1.8268993810358636e-01 2.7799488916720891e+00 3.8154276594135880e-23 6.6168933742113136e-22 8.4830860429966132e-20 5.1214226176547067e-17 8.0258397111394526e-14 1.6581430322461048e-10 2.4859607288336148e-07 2.2027629857951418e-04 3.4731447394013584e-02 2.6979430440170893e-01 3.5587294571506062e-01 1.9676763260083805e-02 1.9615005927806479e-04 3.6453231778038975e-07 2.2235990205079473e-10 9.3348987070488673e-14 5.5053366446976349e-17 8.7980541052659828e-20 6.7594599948198259e-22 3.8748966340463762e-23
